seed,policy,route_minutes,time_total,life_total,units_delivered,avg_minutes_per_unit,score_alpha,score_beta,weighted_score,deliveries,route
44,ORToolsTSPPolicy,30,110,3815991.744412363,570,6694.722358618181,1.0,0.001,-3705.991744412363,10,"[0, 7, 4, 3, 5, 1, 9, 6, 8, 2, 10, 0]"
45,NearestNeighborPolicy,34,114,3815991.6506865495,570,6694.722194186929,1.0,0.001,-3701.9916506865497,10,"[0, 4, 3, 1, 6, 2, 10, 5, 7, 9, 8, 0]"
45,TwoOptPolicy,34,114,3815991.631552264,570,6694.722160618007,1.0,0.001,-3701.991631552264,10,"[0, 4, 3, 1, 6, 2, 10, 5, 7, 9, 8, 0]"
45,ORToolsTSPPolicy,34,114,3815991.4686313393,570,6694.721874791823,1.0,0.001,-3701.9914686313396,10,"[0, 4, 3, 1, 6, 2, 10, 5, 7, 9, 8, 0]"
46,NearestNeighborPolicy,45,125,3815991.407445087,570,6694.721767447521,1.0,0.001,-3690.991407445087,10,"[0, 2, 4, 9, 1, 8, 6, 10, 3, 5, 7, 0]"
46,TwoOptPolicy,40,120,3815991.3809136767,570,6694.721720901187,1.0,0.001,-3695.991380913677,10,"[0, 1, 8, 9, 4, 2, 6, 10, 3, 5, 7, 0]"
46,ORToolsTSPPolicy,33,113,3815991.220150357,570,6694.721438860276,1.0,0.001,-3702.991220150357,10,"[0, 7, 5, 1, 8, 9, 4, 2, 6, 10, 3, 0]"
47,NearestNeighborPolicy,42,122,3815991.607843559,570,6694.722119023787,1.0,0.001,-3693.991607843559,10,"[0, 3, 2, 10, 9, 4, 1, 7, 5, 6, 8, 0]"
47,TwoOptPolicy,42,122,3815991.6371586444,570,6694.722170453762,1.0,0.001,-3693.9916371586446,10,"[0, 3, 2, 10, 9, 4, 1, 7, 5, 6, 8, 0]"
47,ORToolsTSPPolicy,34,114,3815991.4265932827,570,6694.721801040847,1.0,0.001,-3701.991426593283,10,"[0, 7, 4, 6, 8, 10, 9, 3, 1, 2, 5, 0]"
48,NearestNeighborPolicy,32,112,3815991.511920934,570,6694.721950738481,1.0,0.001,-3703.991511920934,10,"[0, 1, 2, 4, 3, 8, 5, 7, 6, 10, 9, 0]"
48,TwoOptPolicy,32,112,3815991.6255039545,570,6694.722150006937,1.0,0.001,-3703.9916255039548,10,"[0, 1, 2, 4, 3, 8, 5, 7, 6, 10, 9, 0]"
